Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,"RightStick1,LeftStick1",SW_RKJXV122400R,2,RKJXV122400R,Alps RKJXV122400R
2,"C8,C6,C13,C5,C7,C14,C4,C9,C3,C12",C_0805_2012Metric,10,100n,capacitor
3,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,Abracon ABM8-272-T3
4,"LEFT1,A1,Credit1,B1,SEL1,START1,X1,RIGHT1,DOWN1,Y2,UP1,Menu1,bC1,Z1,BOOT_SEL1",SW_SPST_Omron_B3FS-100xP,15,SW_Omron_B3FS-1000P,Omron B3FS-1000
5,"C1,C2",C_0805_2012Metric,2,10u,capacitor
6,J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,G-Switch GT-USB-7010ASV,G-Switch GT-USB-7010ASV
7,"R1,R2",C_0805_2012Metric,2,27.4,resistor
8,"C10,C11",C_0805_2012Metric,2,1u,capacitor
9,"bR1,bL1,bR2,bL2",SW_B3F-3100,4,SW_B3F-3100,omron B3F-3100
10,U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVSIM,Winbond W25Q128JVSIM
11,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,raspberry
12,"C16,C15",C_0805_2012Metric,2,15p,capacitor
14,U2,SOT-223-3_TabPin2,1,NCP1117ST33T3G,OnSemi NCP1117ST33T3G
15,"R4,R3",C_0805_2012Metric,2,1k,resistor
16,J3,PinHeader_1x07_P2.54mm_Horizontal,1,Conn_01x07_Pin,XFCN PZ254R-11-07P
17,J2,USB_A_Receptacle_GCT_USB1046,1,USB_A,GCT USB1046-GF-0190-L-B-B
